SubscriberKey,SentCount_7Days,SentCount_31Days,SentCount_6Mos,SentCount_12Mos,SentCount_Life,LastSentDateTimeUTC,OpenCount_7Days,OpenCount_31Days,OpenCount_6Mos,OpenCount_12Mos,OpenCount_Life,LastOpenDateTimeUTC,ClickCount_7Days,ClickCount_31Days,ClickCount_6Mos,ClickCount_12Mos,ClickCount_Life,LastClickDateTimeUTC,BounceCount_7Days,BounceCount_31Days,BounceCount_6Mos,BounceCount_12Mos,BounceCount_Life,LastBounceDateTimeUTC,LastUnsubDateTimeUTC,LastModifiedDateTimeUTC
0013t00001jHuuLAAS,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuumAAC,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuUnAAK,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuUOAA0,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuUPAA0,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuuQAAS,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuurAAC,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuUsAAK,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuuSAAS,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuUtAAK,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuuTAAS,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuUuAAK,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuuUAAS,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuuvAAC,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,1/10/2021 12:00:00 AM
0013t00001jHuUWAA0,,,,172,194,6/24/2020 4:22:37 PM,,,,0,0,,,,,0,0,,,,,0,0,,,1/10/2021 12:00:00 AM
